ID,NAME,CR,TYPE,SIZE,ARMOR_CLASS,HITPOINTS_AVG,HIT_DICE,HITPOINTS_ROLL,SPEED_TYPE,SPEED_WALK,SPEED_FLY,SPEED_SWIM,SPEED_CLIMB,SPEED_BURROW,ALIGNMENT,LEGENDARY,STR,DEX,CON,INT,WIS,CHA,PROF_BONUS,THROW_STR,THROW_DEX,THROW_CON,THROW_INT,THROW_WIS,THROW_CHA,SKILLS,LANGUAGES,SENSES,RANGE_DARKVISION,RANGE_TREMORSENSE,RANGE_BLINDSIGHT,RANGE_TRUESIGHT,SPECIAL_ABILITY_ONE,SPECIAL_ABILITY_ONE_DESC,SPECIAL_ABILITY_TWO,SPECIAL_ABILITY_TWO_DESC,SPECIAL_ABILITY_THREE,SPECIAL_ABILITY_THREE_DESC,SPECIAL_ABILITY_FOUR,SPECIAL_ABILITY_FOUR_DESC,ATTACK_1,ATTACK_1_DESC,ATTACK_2,ATTACK_2_DESC,ATTACK_3,ATTACK_3_DESC,ATTACK_4,ATTACK_4_DESC,ATTACK_5_TYPE,ATTACK_5_DESC,ACTION_LEG,ACTION_LEG1,ACTION_LEG1_DESC,ACTION_LEG2,ACTION_LEG2_DESC,ACTION_LEG3,ACTION_LEG3_DESC,ACTION_LAIR,ACTION_LAIR1,ACTION_LAIR1_DESC,ACTION_LAIR2,ACTION_LAIR2_DESC,ACTION_LAIR3,ACTION_LAIR3_DESC,REGIONALEFFECT,REGIONALEFFECT1,REGIONALEFFECT2,REGIONALEFFECT3,ENDREGIONALEFFECT,ENVIRONMENT,BA1,BA1_DESC,BA2,BA2_DESC,BA3,BA3_DESC,BA4,BA4_DESC,REACTION1,REACTION1_DESC,REACTION2,REACTION2_DESC,REACTION3,REACTION3_DESC,VILL_ACTION,VILL_ACTION1,VILL_ACTION1_DESC,VILL_ACTION2,VILL_ACTION2_DESC,VILL_ACTION3,VILL_ACTION3_DESC,UTILITY_SPELLS,UTILITY_SPELLS_LIST,FEATURE1,FEATURE1_DESC,FEATURE2,FEATURE2_DESC,FEATURE3,FEATURE3_DESC,FEATURE4,FEATURE4_DESC,FEATURE5,FEATURE5_DESC
1,Aboleth,10,aberration,Large,17,135,18d10,18d10+36,"swim,walk",10,0,40,0,0,lawful evil,0,0,0,0,0,0,0,4,0,0,6,8,6,0,0,"Deep Speech, telepathy 120 ft.","darkvision 120 ft., passive_perception 20",120,0,0,0,Amphibious,The aboleth can breathe air and water.,Mucous Cloud,"While underwater, the aboleth is surrounded by transformative mucus. A creature that touches the aboleth or that hits it with a melee attack while within 5 ft. of it must make a DC 14 Constitution saving throw. On a failure, the creature is diseased for 1d4 hours. The diseased creature can breathe only underwater.",Probing Telepathy,"If a creature communicates telepathically with the aboleth, the aboleth learns the creature's greatest desires if the aboleth can see the creature.",0,0,Multiattack,The aboleth makes three tentacle attacks.,Tentacle,"Melee Weapon Attack: +9 to hit, reach 10 ft., one target. Hit: 12 (2d6 + 5) bludgeoning damage. If the target is a creature, it must succeed on a DC 14 Constitution saving throw or become diseased. The disease has no effect for 1 minute and can be removed by any magic that cures disease. After 1 minute, the diseased creature's skin becomes translucent and slimy, the creature can't regain hit points unless it is underwater, and the disease can be removed only by heal or another disease-curing spell of 6th level or higher. When the creature is outside a body of water, it takes 6 (1d12) acid damage every 10 minutes unless moisture is applied to the skin before 10 minutes have passed.",Tail,"Melee Weapon Attack: +9 to hit, reach 10 ft., one target. Hit: 15 (3d6 + 5) bludgeoning damage.",Enslave,"The aboleth targets one creature it can see within 30 ft. of it. The target must succeed on a DC 14 Wisdom saving throw or be magically charmed by the aboleth until the aboleth dies or until it is on a different plane of existence from the target. The charmed target is under the aboleth's control and can't take reactions, and the aboleth and the target can communicate telepathically with each other over any distance.
Whenever the charmed target takes damage, the target can repeat the saving throw. On a success, the effect ends. No more than once every 24 hours, the target can also repeat the saving throw when it is at least 1 mile away from the aboleth.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Acolyte,0.25,humanoid,Medium,10,9,2d8,2d8,walk,30,0,0,0,0,any alignment,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,any one language (usually Common),passive_perception 12,0,0,0,0,Spellcasting,"The acolyte is a 1st-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 12, +4 to hit with spell attacks). The acolyte has following cleric spells prepared:

- Cantrips (at will): light, sacred flame, thaumaturgy
- 1st level (3 slots): bless, cure wounds, sanctuary",0,0,0,0,0,0,Club,"Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 2 (1d4) bludgeoning damage.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Adult Black Dragon,14,dragon,Huge,19,195,17d12,17d12+85,"fly,swim,walk",40,80,40,0,0,chaotic evil,0,0,0,0,0,0,0,5,0,7,10,0,6,8,0,"Common, Draconic","blindsight 60 ft., darkvision 120 ft., passive_perception 21",120,0,60,0,Amphibious,The dragon can breathe air and water.,Legendary Resistance,"If the dragon fails a saving throw, it can choose to succeed instead.",0,0,0,0,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,Bite,"Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage plus 4 (1d8) acid damage.",Claw,"Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage.",Tail,"Melee Weapon Attack: +11 to hit, reach 15 ft., one target. Hit: 15 (2d8 + 6) bludgeoning damage.",Frightful Presence,"Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Adult Blue Dragon,16,dragon,Huge,19,225,18d12,18d12+108,"burrow,fly,walk",40,80,0,0,30,lawful evil,0,0,0,0,0,0,0,5,0,5,11,0,7,9,0,"Common, Draconic","blindsight 60 ft., darkvision 120 ft., passive_perception 22",120,0,60,0,Legendary Resistance,"If the dragon fails a saving throw, it can choose to succeed instead.",0,0,0,0,0,0,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,Bite,"Melee Weapon Attack: +12 to hit, reach 10 ft., one target. Hit: 18 (2d10 + 7) piercing damage plus 5 (1d10) lightning damage.",Claw,"Melee Weapon Attack: +12 to hit, reach 5 ft., one target. Hit: 14 (2d6 + 7) slashing damage.",Tail,"Melee Weapon Attack: +12 to hit, reach 15 ft., one target. Hit: 16 (2d8 + 7) bludgeoning damage.",Frightful Presence,"Each creature of the dragon's choice that is within 120 ft. of the dragon and aware of it must succeed on a DC 17 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Adult Brass Dragon,13,dragon,Huge,18,172,15d12,15d12+75,"burrow,fly,walk",40,80,0,0,40,chaotic good,0,0,0,0,0,0,0,5,0,5,10,0,6,8,0,"Common, Draconic","blindsight 60 ft., darkvision 120 ft., passive_perception 21",120,0,60,0,Legendary Resistance,"If the dragon fails a saving throw, it can choose to succeed instead.",0,0,0,0,0,0,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,Bite,"Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage.",Claw,"Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage.",Tail,"Melee Weapon Attack: +11 to hit, reach 15 ft., one target. Hit: 15 (2d8 + 6) bludgeoning damage.",Frightful Presence,"Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Adult Bronze Dragon,15,dragon,Huge,19,212,17d12,17d12+102,"fly,swim,walk",40,80,40,0,0,lawful good,0,0,0,0,0,0,0,5,0,5,11,0,7,9,0,"Common, Draconic","blindsight 60 ft., darkvision 120 ft., passive_perception 22",120,0,60,0,Amphibious,The dragon can breathe air and water.,Legendary Resistance,"If the dragon fails a saving throw, it can choose to succeed instead.",0,0,0,0,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,Bite,"Melee Weapon Attack: +12 to hit, reach 10 ft., one target. Hit: 18 (2d10 + 7) piercing damage.",Claw,"Melee Weapon Attack: +12 to hit, reach 5 ft., one target. Hit: 14 (2d6 + 7) slashing damage.",Tail,"Melee Weapon Attack: +12 to hit, reach 15 ft., one target. Hit: 16 (2d8 + 7) bludgeoning damage.",Frightful Presence,"Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 17 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Adult Copper Dragon,14,dragon,Huge,18,184,16d12,16d12+80,"climb,fly,walk",40,80,0,40,0,chaotic good,0,0,0,0,0,0,0,5,0,6,10,0,7,8,0,"Common, Draconic","blindsight 60 ft., darkvision 120 ft., passive_perception 22",120,0,60,0,Legendary Resistance,"If the dragon fails a saving throw, it can choose to succeed instead.",0,0,0,0,0,0,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,Bite,"Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage.",Claw,"Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage.",Tail,"Melee Weapon Attack: +11 to hit, reach 15 ft., one target. Hit: 15 (2d8 + 6) bludgeoning damage.",Frightful Presence,"Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Adult Gold Dragon,17,dragon,Huge,19,256,19d12,19d12+133,"fly,swim,walk",40,80,40,0,0,lawful good,0,0,0,0,0,0,0,6,0,8,13,0,8,13,0,"Common, Draconic","blindsight 60 ft., darkvision 120 ft., passive_perception 24",120,0,60,0,Amphibious,The dragon can breathe air and water.,Legendary Resistance,"If the dragon fails a saving throw, it can choose to succeed instead.",0,0,0,0,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,Bite,"Melee Weapon Attack: +14 to hit, reach 10 ft., one target. Hit: 19 (2d10 + 8) piercing damage.",Claw,"Melee Weapon Attack: +14 to hit, reach 5 ft., one target. Hit: 15 (2d6 + 8) slashing damage.",Tail,"Melee Weapon Attack: +14 to hit, reach 15 ft., one target. Hit: 17 (2d8 + 8) bludgeoning damage.",Frightful Presence,"Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 21 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Adult Green Dragon,15,dragon,Huge,19,207,18d12,18d12+90,"fly,swim,walk",40,80,40,0,0,lawful evil,0,0,0,0,0,0,0,5,0,6,10,0,7,8,0,"Common, Draconic","blindsight 60 ft., darkvision 120 ft., passive_perception 22",120,0,60,0,Amphibious,The dragon can breathe air and water.,Legendary Resistance,"If the dragon fails a saving throw, it can choose to succeed instead.",0,0,0,0,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,Bite,"Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage plus 7 (2d6) poison damage.",Claw,"Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage.",Tail,"Melee Weapon Attack: +11 to hit, reach 15 ft., one target. Hit: 15 (2d8 + 6) bludgeoning damage.",Frightful Presence,"Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Adult Red Dragon,17,dragon,Huge,19,256,19d12,19d12+133,"climb,fly,walk",40,80,0,40,0,chaotic evil,0,0,0,0,0,0,0,6,0,6,13,0,7,11,0,"Common, Draconic","blindsight 60 ft., darkvision 120 ft., passive_perception 23",120,0,60,0,Legendary Resistance,"If the dragon fails a saving throw, it can choose to succeed instead.",0,0,0,0,0,0,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,Bite,"Melee Weapon Attack: +14 to hit, reach 10 ft., one target. Hit: 19 (2d10 + 8) piercing damage plus 7 (2d6) fire damage.",Claw,"Melee Weapon Attack: +14 to hit, reach 5 ft., one target. Hit: 15 (2d6 + 8) slashing damage.",Tail,"Melee Weapon Attack: +14 to hit, reach 15 ft., one target. Hit: 17 (2d8 + 8) bludgeoning damage.",Frightful Presence,"Each creature of the dragon's choice that is within 120 ft. of the dragon and aware of it must succeed on a DC 19 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
